       weights:                   circularity   inertiaRatio      convexity      blobColor           area
        (0-255)                           100            255            100             50             --

      FilterBy:          error    circularity   inertiaRatio      convexity      blobColor           area
                             0              1              1              1              1              1

            min              0          0.000          0.000          0.000        250.000          1.000
            max          0.300          1.100          1.100          1.100        255.000        200.000

       Targets:                   circularity   inertiaRatio      convexity      blobColor           area
                                        1.000          1.000          1.000            255             --

         blobNo     TotalError    circularity   inertiaRatio      convexity      blobColor           area       imageXpt       imageYpt
              2         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       592.0000       211.3333
              3         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              4         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              5         0.4362         0.5715         0.3696         0.8333       255.0000         2.5000       232.1333       285.3333
              6         0.5069         0.5614         0.2441         0.8065       255.0000        12.5000       382.7467       261.2267
              7         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       231.5000       285.5000
              1         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       231.5000       271.5000
              2         0.4273         0.6430         0.2937         1.0000       255.0000         3.0000       522.7778       271.6667
              3         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              4         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       359.6667       308.3333
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              6         0.5302         0.5890         0.1111         1.0000       255.0000         3.0000       541.5000       284.5000
              7         0.5585         0.4001         0.2164         0.7778       255.0000         7.0000       256.8333       186.5714
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       231.5000       285.5000
              1         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              2         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       359.2667       308.5333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              6         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       525.5000       234.0000
              7         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              0         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       592.0000       211.3333
              1         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              2         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              3         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       359.6667       308.3333
              4         0.5069         0.5614         0.2441         0.8065       255.0000        12.5000       382.7467       261.2267
              5         0.5192         0.4624         0.2731         0.7692       255.0000         5.0000       256.6333       192.8000
              6         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              7         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              0         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              1         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              2         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       359.2667       308.5333
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       232.2667       285.4667
              5         0.5586         0.4837         0.0963         1.0000       255.0000         1.5000       623.7778       198.2222
              6         0.6009         0.2831         0.2441         0.6098       255.0000        12.5000       382.7467       261.2267
              7         0.6107         0.3841         0.0322         1.0000       255.0000         5.5000       257.4848       167.2424
              0         0.3617         0.6474         0.4220         1.0000       255.0000         3.5000       359.1905       308.2857
              1         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              2         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              3         0.4385         0.6981         0.2500         1.0000       255.0000         2.0000       542.0000       284.5000
              4         0.4721         0.6711         0.2447         0.8710       255.0000        13.5000       382.6914       261.0864
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              6         0.5292         0.4837         0.2525         0.7500       255.0000         1.5000       355.1111       308.2222
              7         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              0         0.4273         0.6430         0.2937         1.0000       255.0000         3.0000       522.7778       271.6667
              1         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       592.0000       211.3333
              2         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              3         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       359.6667       308.3333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5292         0.4837         0.2525         0.7500       255.0000         1.5000       355.1111       308.2222
              6         0.5686         0.3057         0.2863         0.6429       255.0000        13.5000       382.6173       261.2469
              7         0.5963         0.1940         0.3508         0.4500       255.0000         4.5000       541.7778       283.7407
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       231.5000       271.5000
              1         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              2         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       359.2667       308.5333
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              4         0.5292         0.4837         0.2525         0.7500       255.0000         1.5000       354.7778       307.8889
              5         0.5586         0.4837         0.0963         1.0000       255.0000         1.5000       623.7778       198.2222
              6         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              7         0.6009         0.2831         0.2441         0.6098       255.0000        12.5000       382.7467       261.2267
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       231.5000       271.5000
              1         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              2         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       359.2667       308.5333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              6         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       525.0000       275.5000
