       weights:                   circularity   inertiaRatio      convexity      blobColor           area
        (0-255)                           200              0            100            255             --

      FilterBy:          error    circularity   inertiaRatio      convexity      blobColor           area
                             0              1              1              1              1              1

            min              0          0.050          0.050          0.050        250.000          1.000
            max          0.800          1.100          1.100          1.100        255.000        200.000

       Targets:                   circularity   inertiaRatio      convexity      blobColor           area
                                        1.000          1.000          1.000            255             --

         blobNo     TotalError    circularity   inertiaRatio      convexity      blobColor           area       imageXpt       imageYpt
              1         0.3802         0.5549         0.2917         0.8000       253.0000         6.0000       472.7778       475.8333
              0         0.2926         0.6981         0.2500         1.0000       253.0000         2.0000       377.0000       468.5000
              1         0.3124         0.6430         0.2937         1.0000       253.0000         3.0000       632.3333       467.2222
              2         0.4388         0.4287         0.5655         0.7273       253.0000         8.0000       473.2708       475.6250
              0         0.2980         0.6830         0.1591         1.0000       253.0000        10.5000       473.0794       475.6032
              1         0.3499         0.5390         0.3333         1.0000       253.0000         2.0000       444.3333       466.6667
              2         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       520.5000        96.5000
              3         0.3845         0.6981         0.2500         1.0000       252.0000         2.0000       633.0000       467.5000
              4         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       376.4444       468.2222
              0         0.3754         0.5516         0.3659         0.8333       253.0000         7.5000       472.7111       475.4444
              1         0.3845         0.6981         0.2500         1.0000       252.0000         2.0000       376.5000       468.0000
              2         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       444.7778       467.5556
              0         0.2611         0.7854         1.0000         1.0000       253.0000         1.0000       376.5000       468.5000
              1         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       632.5000       467.5000
              2         0.3811         0.5359         0.3058         0.8333       253.0000        10.0000       473.0333       475.8667
              0         0.2611         0.7854         1.0000         1.0000       253.0000         1.0000       376.5000       468.5000
              1         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       632.2222       467.4444
              2         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       444.5000       466.5000
              3         0.4335         0.6362         0.3243         0.8519       252.0000        11.5000       473.2029       475.8986
              0         0.3318         0.6449         0.6860         0.8889       253.0000         4.0000       376.7500       468.8333
              1         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       632.5000       467.5000
              2         0.3859         0.5390         0.2357         0.8000       253.0000         8.0000       472.6250       475.8750
              0         0.2926         0.6981         0.2500         1.0000       253.0000         2.0000       376.5000       468.0000
              1         0.3460         0.6179         0.2921         0.8636       253.0000         9.5000       473.1228       475.7193
              0         0.2007         0.6981         0.2500         1.0000       254.0000         2.0000       377.0000       468.5000
              1         0.2442         0.8323         0.4725         1.0000       253.0000         4.5000       444.6296       467.0741
              2         0.3460         0.6179         0.2357         0.8636       253.0000         9.5000       472.8596       475.4561
              0         0.2528         0.8085         0.8222         1.0000       253.0000         3.0000       376.7778       468.0000
              1         0.3514         0.6064         0.2916         0.8571       253.0000         9.0000       472.8519       475.6667
              2         0.4290         0.4624         0.5028         0.7143       253.0000         2.5000       444.5333       467.3333
              0         0.2442         0.8323         0.4725         1.0000       253.0000         4.5000       444.3704       466.9259
              1         0.4734         0.5450         0.2234         0.8125       252.0000         6.5000       472.6667       475.7179
              2         0.4778         0.5390         0.6389         0.8000       252.0000         2.0000       376.6667       468.2500
              0         0.2426         0.6588         0.7592         0.8462       254.0000        11.0000       473.0000       475.5000
              1         0.2536         0.8061         0.5336         1.0000       253.0000         2.5000       444.8667       466.8667
              2         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       632.5556       467.7778
              3         0.4778         0.5390         0.6389         0.8000       252.0000         2.0000       376.6667       468.2500
              0         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       376.2222       468.5556
              1         0.4972         0.4963         0.6774         0.7778       252.0000         7.0000       473.0952       475.5714
              2         0.5071         0.2695         0.3333         0.6667       253.0000         1.0000       632.0000       467.3333
              3         0.5343         0.2774         0.2937         0.5000       253.0000         1.5000       444.7778       467.4444
              0         0.3169         0.6987         0.3624         0.8636       253.0000         9.5000       472.8596       475.2982
              1         0.3455         0.8061         0.5336         1.0000       252.0000         2.5000       632.8667       467.8667
              2         0.3682         0.5715         0.3696         0.8333       253.0000         2.5000       376.8667       468.3333
              3         0.4418         0.5390         0.1459         1.0000       252.0000         2.0000       444.5000       467.5000
              0         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       632.5000       467.5000
              1         0.3695         0.5809         0.2988         0.8077       253.0000        10.5000       472.7302       475.2063
              2         0.3859         0.5390         0.6389         0.8000       253.0000         2.0000       376.6667       468.2500
              3         0.5343         0.2774         0.2937         0.5000       253.0000         1.5000       444.4444       466.7778
              0         0.2528         0.8085         0.3333         1.0000       253.0000         3.0000       445.0000       467.0000
              1         0.3499         0.5390         0.3333         1.0000       253.0000         2.0000       376.6667       468.3333
              2         0.5768         0.3407         0.2503         0.6471       252.0000         5.5000       473.1212       476.1515
              0         0.2926         0.6981         0.2500         1.0000       253.0000         2.0000       376.5000       468.0000
              1         0.3859         0.5390         0.3806         0.8000       253.0000         8.0000       472.8333       475.4375
              2         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       518.7778        71.4444
              3         0.4778         0.5390         0.1775         0.8000       252.0000         2.0000       444.7500       467.0000
              0         0.2133         0.7187         0.7458         0.8889       254.0000        12.0000       473.0000       475.6667
